#  AU		  5 mu 		10 mu		15 mu
   0.00000    0.00014    0.00003    0.00002
   0.00645    0.00014    0.00003    0.00002
   0.01289    0.00068    0.00017    0.00008
   0.01934    0.00170    0.00045    0.00020
   0.02578    0.00306    0.00084    0.00038
   0.03223    0.00461    0.00136    0.00062
   0.03867    0.00613    0.00197    0.00091
   0.04512    0.00760    0.00266    0.00126
   0.05156    0.00936    0.00340    0.00164
   0.05801    0.01164    0.00418    0.00207
   0.06445    0.01456    0.00497    0.00253
   0.07090    0.01817    0.00574    0.00302
   0.07734    0.02244    0.00646    0.00352
   0.08379    0.02727    0.00719    0.00404
   0.09023    0.03249    0.00798    0.00457
   0.09668    0.03786    0.00886    0.00509
   0.10313    0.04314    0.00985    0.00561
   0.10957    0.04804    0.01099    0.00610
   0.11602    0.05254    0.01228    0.00658
   0.12246    0.05724    0.01374    0.00706
   0.12891    0.06251    0.01537    0.00757
   0.13535    0.06852    0.01717    0.00811
   0.14180    0.07530    0.01914    0.00870
   0.14824    0.08277    0.02128    0.00933
   0.15469    0.09082    0.02357    0.01003
   0.16113    0.09915    0.02598    0.01078
   0.16758    0.10749    0.02851    0.01161
   0.17402    0.11549    0.03112    0.01251
   0.18047    0.12284    0.03379    0.01348
   0.18691    0.12944    0.03648    0.01452
   0.19336    0.13605    0.03917    0.01565
   0.19980    0.14315    0.04181    0.01685
   0.20625    0.15102    0.04438    0.01813
   0.21270    0.15964    0.04684    0.01948
   0.21914    0.16895    0.04915    0.02091
   0.22559    0.17872    0.05139    0.02240
   0.23203    0.18874    0.05365    0.02395
   0.23848    0.19852    0.05600    0.02556
   0.24492    0.20781    0.05847    0.02723
   0.25137    0.21611    0.06110    0.02893
   0.25781    0.22339    0.06392    0.03067
   0.26426    0.23033    0.06692    0.03244
   0.27070    0.23779    0.07012    0.03423
   0.27715    0.24594    0.07350    0.03603
   0.28359    0.25474    0.07708    0.03782
   0.29004    0.26420    0.08082    0.03961
   0.29648    0.27410    0.08472    0.04137
   0.30293    0.28403    0.08874    0.04310
   0.30938    0.29370    0.09285    0.04479
   0.31582    0.30252    0.09703    0.04643
   0.32227    0.31021    0.10121    0.04801
   0.32871    0.31664    0.10540    0.04953
   0.33516    0.32238    0.10950    0.05101
   0.34160    0.32842    0.11353    0.05251
   0.34805    0.33519    0.11736    0.05403
   0.35449    0.34274    0.12107    0.05560
   0.36094    0.35068    0.12450    0.05721
   0.36738    0.35914    0.12779    0.05890
   0.37383    0.36749    0.13103    0.06066
   0.38027    0.37532    0.13433    0.06248
   0.38672    0.38265    0.13774    0.06440
   0.39316    0.38819    0.14130    0.06640
   0.39961    0.39234    0.14505    0.06849
   0.40605    0.39540    0.14898    0.07066
   0.41250    0.39903    0.15306    0.07292
   0.41895    0.40290    0.15738    0.07526
   0.42539    0.40797    0.16189    0.07769
   0.43184    0.41339    0.16652    0.08018
   0.43828    0.41925    0.17132    0.08275
   0.44473    0.42479    0.17623    0.08537
   0.45117    0.42997    0.18120    0.08805
   0.45762    0.43423    0.18620    0.09078
   0.46406    0.43702    0.19118    0.09353
   0.47051    0.43792    0.19611    0.09632
   0.47695    0.43791    0.20090    0.09911
   0.48340    0.43807    0.20554    0.10190
   0.48984    0.43891    0.20997    0.10469
   0.49629    0.44048    0.21414    0.10745
   0.50273    0.44266    0.21801    0.11017
   0.50918    0.44531    0.22158    0.11285
   0.51562    0.44795    0.22509    0.11546
   0.52207    0.45003    0.22859    0.11800
   0.52852    0.45120    0.23215    0.12045
   0.53496    0.45067    0.23586    0.12280
   0.54141    0.44840    0.23975    0.12506
   0.54785    0.44486    0.24381    0.12723
   0.55430    0.44191    0.24806    0.12939
   0.56074    0.43919    0.25243    0.13157
   0.56719    0.43772    0.25699    0.13377
   0.57363    0.43691    0.26175    0.13600
   0.58008    0.43660    0.26659    0.13831
   0.58652    0.43644    0.27161    0.14070
   0.59297    0.43592    0.27656    0.14316
   0.59941    0.43408    0.28157    0.14567
   0.60586    0.43095    0.28644    0.14827
   0.61230    0.42590    0.29129    0.15099
   0.61875    0.42008    0.29599    0.15380
   0.62520    0.41370    0.30045    0.15667
   0.63164    0.40871    0.30465    0.15959
   0.63809    0.40462    0.30843    0.16263
   0.64453    0.40160    0.31198    0.16575
   0.65098    0.39911    0.31506    0.16891
   0.65742    0.39726    0.31795    0.17217
   0.66387    0.39448    0.32080    0.17539
   0.67031    0.39154    0.32380    0.17867
   0.67676    0.38659    0.32703    0.18203
   0.68320    0.38001    0.33014    0.18536
   0.68965    0.37240    0.33347    0.18872
   0.69609    0.36470    0.33711    0.19200
   0.70254    0.35814    0.34068    0.19528
   0.70898    0.35273    0.34458    0.19848
   0.71543    0.34871    0.34864    0.20167
   0.72188    0.34509    0.35272    0.20479
   0.72832    0.34241    0.35700    0.20779
   0.73477    0.33974    0.36122    0.21071
   0.74121    0.33594    0.36553    0.21346
   0.74766    0.33078    0.36940    0.21609
   0.75410    0.32391    0.37363    0.21859
   0.76055    0.31562    0.37740    0.22101
   0.76699    0.30806    0.38087    0.22338
   0.77344    0.30148    0.38405    0.22568
   0.77988    0.29619    0.38694    0.22803
   0.78633    0.29220    0.38915    0.23031
   0.79277    0.28930    0.39116    0.23274
   0.79922    0.28708    0.39304    0.23518
   0.80566    0.28484    0.39480    0.23778
   0.81211    0.28240    0.39623    0.24045
   0.81855    0.27817    0.39811    0.24310
   0.82500    0.27231    0.40004    0.24592
   0.83145    0.26528    0.40221    0.24877
   0.83789    0.25853    0.40431    0.25171
   0.84434    0.25283    0.40663    0.25473
   0.85078    0.24859    0.40922    0.25770
   0.85723    0.24655    0.41186    0.26094
   0.86367    0.24522    0.41484    0.26421
   0.87012    0.24496    0.41745    0.26741
   0.87656    0.24438    0.42045    0.27078
   0.88301    0.24373    0.42351    0.27415
   0.88945    0.24155    0.42627    0.27736
   0.89590    0.23783    0.42896    0.28074
   0.90234    0.23268    0.43119    0.28406
   0.90879    0.22759    0.43326    0.28719
   0.91523    0.22392    0.43524    0.29048
   0.92168    0.22195    0.43678    0.29361
   0.92813    0.22153    0.43740    0.29671
   0.93457    0.22262    0.43791    0.29965
   0.94102    0.22444    0.43783    0.30259
   0.94746    0.22676    0.43795    0.30533
   0.95391    0.22819    0.43792    0.30781
   0.96035    0.22858    0.43804    0.31029
   0.96680    0.22737    0.43804    0.31249
