nMC	Rp	Porb	a	rp	ang_sep	ang_sep_max	inc	Omega	omega	theta	ecc	Finc	Abond	AgeomMIR	AgeomVIS	f	Tp	Mp	dist	Rs	Ts	Ms	stype	zodis	ra	dec	nstar	
0	0.57801	10.44854	0.04464	0.04464	0.02464	0.03437	2.28730	1.50627	2.10115	6.14402	0.00000	0.77082	0.13081	0.04016	0.58795	0.05082	251.80453	0.09800	1.29885	0.14000	3054.00000	0.10871	M	60.05458	210.49526	-62.67949	0	
0	0.72969	34.97354	0.09990	0.09990	0.05614	0.07691	2.28730	0.00688	1.13858	3.13769	0.00000	0.15395	0.24827	0.09018	0.53258	0.73784	162.33259	0.34731	1.29885	0.14000	3054.00000	0.10871	M	60.05458	210.49526	-62.67949	0	
1	0.89716	164.34351	0.28026	0.28026	0.14829	0.21577	0.81812	3.84428	1.19753	0.27592	0.00000	0.01956	0.41022	0.07010	0.32249	0.04356	91.21330	0.71780	1.29885	0.14000	3054.00000	0.10871	M	9.80723	210.49526	-62.67949	0	
1	0.54194	480.93174	0.57339	0.57339	0.42579	0.44146	0.81812	2.18111	0.49640	6.15698	0.00000	0.00467	0.37159	0.02274	0.02079	0.19744	64.78919	0.12059	1.29885	0.14000	3054.00000	0.10871	M	9.80723	210.49526	-62.67949	0	
2	0.75833	442.32979	0.54228	0.54228	0.22801	0.41751	1.09419	1.49970	2.22316	5.97075	0.00000	0.00522	0.42994	0.00214	0.05245	0.01978	65.01830	0.44547	1.29885	0.14000	3054.00000	0.10871	M	3.83299	210.49526	-62.67949	0	
2	1.70087	339.37161	0.45447	0.45447	0.25298	0.34990	1.09419	1.86167	2.87175	2.52078	0.00000	0.00744	0.18274	0.01782	0.06915	0.74327	77.71452	4.45356	1.29885	0.14000	3054.00000	0.10871	M	3.83299	210.49526	-62.67949	0	
2	0.64896	321.64792	0.43851	0.43851	0.15649	0.33761	1.09419	4.46920	5.24894	2.67950	0.00000	0.00799	0.22681	0.08399	0.41988	0.01160	78.02755	0.19431	1.29885	0.14000	3054.00000	0.10871	M	3.83299	210.49526	-62.67949	0	
2	1.01759	0.52200	0.00606	0.00606	0.00388	0.00466	1.09419	1.76379	5.51067	4.58907	0.00000	41.89274	0.06422	0.05519	0.15230	0.64639	696.42412	1.42320	1.29885	0.14000	3054.00000	0.10871	M	3.83299	210.49526	-62.67949	0	
3	1.02922	27.10906	0.08430	0.08430	0.05542	0.06490	2.48627	2.36383	2.26075	5.04588	0.00000	0.21621	0.13575	0.01276	0.05252	0.10228	182.98891	0.59557	1.29885	0.14000	3054.00000	0.10871	M	47.79810	210.49526	-62.67949	0	
3	2.10387	0.93040	0.00890	0.00890	0.00644	0.00685	2.48627	3.35647	3.56796	0.16727	0.00000	19.38519	0.14452	0.07879	0.12969	0.50744	561.65003	9.20424	1.29885	0.14000	3054.00000	0.10871	M	47.79810	210.49526	-62.67949	0	
3	0.61379	3.43204	0.02125	0.02125	0.01636	0.01636	2.48627	0.68035	3.51886	2.73594	0.00000	3.40115	0.60026	0.06767	0.16230	0.32701	300.53735	0.31310	1.29885	0.14000	3054.00000	0.10871	M	47.79810	210.49526	-62.67949	0	
