,KOIS,host_star,KOIP,Kepname,star_mass,star_radius,CDPP_6h,b,planet_period,planet_radius,e_Rp,T,RpAvg,Prat,Delta
0,K00041, 6521045,K00041.02,Kepler-100 b ,1.107,1.55,23.331,0.5134,6.88706037,1.35499222518,0.235962174079,1186.84221864,0.0,0.0,0.0
1,K00041, 6521045,K00041.03,Kepler-100 d ,1.107,1.55,23.331,0.5942,35.3330866,1.54030685774,0.318251249581,687.852770045,1.95734033452,2.75697620285,31.2310778769
2,K00041, 6521045,K00041.01,Kepler-100 c ,1.107,1.55,23.331,0.5891,12.81588378,2.3743738113,0.344681735195,965.148486944,1.86468301824,1.8608641556,20.1538747165
3,K00046,10905239,K00046.02,Kepler-101 c ,1.156,1.58,54.612,0.4143,6.02979518,1.18082284298,0.165451172036,1203.2734357,3.43956167448,1.72887962202,12.9180189685
4,K00046,10905239,K00046.01,Kepler-101 b ,1.156,1.58,54.612,0.0356,3.487689428,5.69830050599,0.738679516716,1443.88365415,0.0,0.0,0.0
5,K00070, 6850504,K00070.05,Kepler-20 f  ,0.934,0.949,39.416,0.3268,19.5776286,1.0161155232,0.0870208190509,634.7316453,2.05855238302,1.80370850693,18.3685242661
6,K00070, 6850504,K00070.03,Kepler-20 d  ,0.934,0.949,39.416,0.1206,77.6115987,2.68703216927,0.219741719921,401.06531309,1.85157384623,3.96430028814,42.2022770052
7,K00070, 6850504,K00070.01,Kepler-20 c  ,0.934,0.949,39.416,0.4384,10.854097835,3.10098924285,0.277415783781,772.508081932,1.97240876784,1.77978723968,18.3414931441
8,K00070, 6850504,K00070.02,Kepler-20 b  ,0.934,0.949,39.416,0.8424,3.696119675,2.15716558913,0.256781335754,1106.44153745,0.0,0.0,0.0
9,K00070, 6850504,K00070.04,Kepler-20 e  ,0.934,0.949,39.416,0.5636,6.09853672,0.843828292821,0.130189961563,936.145332172,1.50049694098,1.64998356553,17.6931025626
10,K00072,11904151,K00072.01,Kepler-10 b  ,0.905,1.063,22.299,0.0489,0.837491331,1.46112535603,0.172980216476,1961.50529453,0.0,0.0,0.0
11,K00072,11904151,K00072.02,Kepler-10 c  ,0.905,1.063,22.299,0.019,45.29431717,2.29553351659,0.269842872137,519.065957544,1.87832943631,54.0833265891,78.0105848795
12,K00082,10187017,K00082.02,Kepler-102 d ,0.804,0.77,27.801,0.7672,10.31173752,1.42392301905,0.144021323642,647.037713401,1.0058882018,1.45823949166,14.6605509904
13,K00082,10187017,K00082.03,Kepler-102 f ,0.804,0.77,27.801,0.1053,27.4537294,0.800211000528,0.0706634373003,466.741425654,1.68049350675,1.70037502809,17.0736725377
14,K00082,10187017,K00082.05,Kepler-102 b ,0.804,0.77,27.801,0.4052,5.28695437,0.499600380063,0.045985975387,807.959476567,0.0,0.0,0.0
15,K00082,10187017,K00082.01,Kepler-102 e ,0.804,0.77,27.801,0.6842,16.145690772,2.56077601298,0.245213329214,556.871788837,1.99234951601,1.56575850973,12.6922008733
16,K00082,10187017,K00082.04,Kepler-102 c ,0.804,0.77,27.801,0.0839,7.07136076,0.587853384557,0.052299467624,732.942705259,0.54372688231,1.33751121442,28.3116015748
17,K00085, 5866724,K00085.02,Kepler-65 b  ,1.234,1.43,19.867,0.6452,2.154909039,1.50142597187,0.228355058748,1751.6890073,0.0,0.0,0.0
18,K00085, 5866724,K00085.01,Kepler-65 c  ,1.234,1.43,19.867,0.0265,5.859938722,2.55966891148,0.365405951654,1254.50002925,2.03054744168,2.71934388689,31.6189929434
19,K00085, 5866724,K00085.03,Kepler-65 d  ,1.234,1.43,19.867,0.8742,8.13122484,1.76289452209,0.266863244937,1126.14303073,2.16128171679,1.3875955408,10.4880684603
20,K00094, 6462863,K00094.03,Kepler-89 e  ,1.191,1.37,30.087,0.0352,54.31998605,6.11575990228,0.801286704609,584.538901187,8.20781776119,2.43118918653,12.145532367
21,K00094, 6462863,K00094.01,Kepler-89 d  ,1.191,1.37,30.087,0.0056,22.342969585,0.2998756201,0.37993536944,785.431006793,7.07546386359,2.14348237625,11.0110913898
22,K00094, 6462863,K00094.04,Kepler-89 b  ,1.191,1.37,30.087,0.6516,3.743175556,1.62954611243,0.249205423961,1426.28806532,0.0,0.0,0.0
23,K00094, 6462863,K00094.02,Kepler-89 c  ,1.191,1.37,30.087,0.127,10.423677765,3.85105210707,0.518441747826,1011.27871968,2.74029910975,2.78471517273,29.1334820088
24,K00108, 4914423,K00108.02,Kepler-103 c ,1.137,1.57,27.357,0.6661,179.6076602,5.92772644149,0.837168735069,403.301088718,4.67889682911,11.2498509529,43.2236299139
25,K00108, 4914423,K00108.01,Kepler-103 b ,1.137,1.57,27.357,0.0368,15.96533687,3.43006721673,0.473133624016,903.413495434,0.0,0.0,0.0
26,K00111, 6678383,K00111.02,Kepler-104 c ,0.83,0.966,27.029,0.6309,23.66836427,2.17152305911,0.227862045878,641.50437791,2.1800072938,2.07116777603,20.04196776
27,K00111, 6678383,K00111.03,Kepler-104 d ,0.83,0.966,27.029,0.4582,51.75529576,2.42365792216,0.271085598446,494.860733622,2.29759049063,2.1866866324,21.1383618812
28,K00111, 6678383,K00111.01,Kepler-104 b ,0.83,0.966,27.029,0.1238,11.427545631,2.1884915285,0.223635633054,817.552450577,0.0,0.0,0.0
29,K00115, 9579641,K00115.02,Kepler-105 c ,1.019,1.061,35.771,0.1989,7.12594591,1.49748549288,0.139572970404,998.561017796,2.05534767074,1.31664323608,8.23114581364
30,K00115, 9579641,K00115.01,Kepler-105 b ,1.019,1.061,35.771,0.0975,5.41220713,2.6132098486,0.244593587661,1092.14261507,0.0,0.0,0.0
31,K00116, 8395660,K00116.03,Kepler-106 b ,0.994,1.074,42.874,0.5416,6.16491696,0.882398110111,0.0936420818877,1045.08286589,0.0,0.0,0.0
32,K00116, 8395660,K00116.04,Kepler-106 d ,0.994,1.074,42.874,0.2506,23.9802348,1.03353982122,0.111813371579,664.352820488,1.74206801721,1.76705091011,19.1974155652
33,K00116, 8395660,K00116.01,Kepler-106 c ,0.994,1.074,42.874,0.1145,13.57076622,2.4505962132,0.239881941799,803.541318992,1.66649716166,2.20128937795,27.0129342117
34,K00116, 8395660,K00116.02,Kepler-106 e ,0.994,1.074,42.874,0.4969,43.84444353,2.69028057864,0.307517687023,544.020598948,1.86191019993,1.82835755762,19.8489617341
35,K00117,10875245,K00117.04,Kepler-107 d ,1.256,1.61,33.04,0.1553,7.95830216,1.21883940216,0.207733174677,1131.16973497,1.65447232989,1.62366677827,17.6592810362
36,K00117,10875245,K00117.02,Kepler-107 c ,1.256,1.61,33.04,0.7916,4.90143807,2.09010525763,0.372919235708,1329.02726152,1.93250444047,1.54132078603,14.3909046007
37,K00117,10875245,K00117.03,Kepler-107 b ,1.256,1.61,33.04,0.2651,3.180024635,1.7749036233,0.290240976469,1537.05910956,0.0,0.0,0.0
38,K00117,10875245,K00117.01,Kepler-107 e ,1.256,1.61,33.04,0.6808,14.74913518,3.48873936984,0.583078590778,920.618582571,2.353789386,1.85330173239,19.8102880872
39,K00123, 5094751,K00123.01,Kepler-109 b ,1.073,1.37,28.964,0.1459,6.481628092,2.38528709736,0.327485080032,1157.99854356,0.0,0.0,0.0
40,K00123, 5094751,K00123.02,Kepler-109 c ,1.073,1.37,28.964,0.0266,21.22258525,2.59510789703,0.356056556681,780.188586068,2.49019749719,3.27426766065,33.0653137902
41,K00124,11086270,K00124.02,Kepler-110 c ,1.03,1.18,33.229,0.0971,31.71982498,2.26556590844,0.276803196844,641.109055901,2.07857914762,2.49938498046,27.2157079186
42,K00124,11086270,K00124.01,Kepler-110 b ,1.03,1.18,33.229,0.0211,12.69105209,1.8915923868,0.230275684146,869.662337973,0.0,0.0,0.0
43,K00137, 8644288,K00137.02,Kepler-18 d  ,0.953,1.008,50.138,0.0247,14.858912687,5.70224818983,0.504320829284,706.076606427,5.23204978625,1.94448388304,12.5684760158
44,K00137, 8644288,K00137.03,Kepler-18 b  ,0.953,1.008,50.138,0.7912,3.504687554,2.01233219206,0.292826797005,1143.51402656,0.0,0.0,0.0
45,K00137, 8644288,K00137.01,Kepler-18 c  ,0.953,1.008,50.138,0.0083,7.641571533,4.76185138267,0.426455100605,881.192146968,3.38709178736,2.18038595888,17.9293324393
46,K00148, 5735762,K00148.01,Kepler-48 b  ,0.89,0.904,54.604,0.4512,4.778004028,2.00509415362,0.177581172904,949.658426473,0.0,0.0,0.0
47,K00148, 5735762,K00148.03,Kepler-48 d  ,0.89,0.904,54.604,0.028,42.89605505,2.14260741809,0.174887087814,457.17180364,2.4551216519,4.43418041706,38.1637490806
48,K00148, 5735762,K00148.02,Kepler-48 c  ,0.89,0.904,54.604,0.0267,9.673953474,2.7676358857,0.222924792516,750.977587232,2.38636501966,2.02468508132,19.3564559919
49,K00150, 7626506,K00150.01,Kepler-112 b ,0.786,0.812,51.933,0.1335,8.408876951,2.30540995142,0.186423986365,799.149747513,0.0,0.0,0.0
50,K00150, 7626506,K00150.02,Kepler-112 c ,0.786,0.812,51.933,0.2589,28.5742649,2.37623075444,0.19239065059,531.629823789,2.34082035293,3.39810715111,31.2784444149
51,K00152, 8394721,K00152.04,Kepler-79 e  ,1.248,1.3,83.584,0.232,81.0634942,2.79050231886,0.286724557232,511.435842542,4.97319261528,1.55619551379,8.99755884932
52,K00152, 8394721,K00152.02,Kepler-79 c  ,1.248,1.3,83.584,0.1043,27.40232089,3.71614240964,0.358218654875,734.173467423,3.57008564651,2.03212168094,19.2050617412
53,K00152, 8394721,K00152.01,Kepler-79 d  ,1.248,1.3,83.584,0.021,52.09081602,7.1558829117,0.686885192086,592.753947554,5.43601266067,1.90096365301,12.7851409642
54,K00152, 8394721,K00152.03,Kepler-79 b  ,1.248,1.3,83.584,0.0862,13.48458665,3.42402888339,0.331723778707,929.377425484,0.0,0.0,0.0
55,K00153,12252424,K00153.01,Kepler-113 c ,0.777,0.756,54.358,0.8053,8.925076369,2.70550047369,0.269982441415,660.703755379,2.36816807795,1.87738203829,16.6273717873
56,K00153,12252424,K00153.02,Kepler-113 b ,0.777,0.756,54.358,0.2184,4.75400115,2.0308356822,0.166041273617,814.241040175,0.0,0.0,0.0
57,K00156,10925104,K00156.03,Kepler-114 d ,0.75,0.728,74.654,0.4295,11.776138457,2.75775081726,0.226500905207,577.974727115,2.24540188727,1.46445136413,10.2177976329
58,K00156,10925104,K00156.02,Kepler-114 b ,0.75,0.728,74.654,0.1174,5.188561757,1.34204508562,0.111364355077,759.606934098,0.0,0.0,0.0
59,K00156,10925104,K00156.01,Kepler-114 c ,0.75,0.728,74.654,0.0898,8.041331208,1.73305295728,0.141671882275,656.311392424,1.53754902145,1.54981892567,13.4237123741
60,K00157, 6541920,K00157.02,Kepler-11 d  ,1.005,1.19,51.624,0.0153,22.68714105,3.70403981855,0.421804185276,699.010205056,3.52815127858,1.74182465493,14.1379508903
61,K00157, 6541920,K00157.01,Kepler-11 c  ,1.005,1.19,51.624,0.0416,13.02492819,3.35226273861,0.370447641958,842.110838563,2.72881050592,1.26406462613,6.53899905041
62,K00157, 6541920,K00157.05,Kepler-11 g  ,1.005,1.19,51.624,0.1086,118.378379,3.93706502666,0.439567450677,403.293806336,3.52105266582,2.53563980727,23.2536311266
63,K00157, 6541920,K00157.06,Kepler-11 b  ,1.005,1.19,51.624,0.0118,10.30400497,2.10535827323,0.238475311395,910.221271499,0.0,0.0,0.0
64,K00157, 6541920,K00157.04,Kepler-11 f  ,1.005,1.19,51.624,0.6989,46.6858024,3.10504030498,0.411566689461,550.18960159,3.76519708226,1.4591362315,8.9444419743
65,K00157, 6541920,K00157.03,Kepler-11 e  ,1.005,1.19,51.624,0.1117,31.99550624,4.42535385954,0.496600008613,623.970251904,4.06469683905,1.41029256042,7.97348354131
66,K00159, 8972058,K00159.01,Kepler-115 c ,1.07,1.126,50.931,0.1376,8.99088871,2.42158128263,0.23543829187,954.614623194,1.729417294,3.74052536205,43.5203314812
